date,open,high,low,close,volume
2008-05-30,1.55046,1.55682,1.54594,1.55498,862235
2008-05-31,1.55498,1.55519,1.55483,1.55493,35954
2008-06-02,1.55512,1.55881,1.54845,1.55398,860823
2008-06-03,1.55408,1.56275,1.54085,1.54667,860218
2008-06-04,1.54658,1.54825,1.54157,1.54413,862358
2008-06-05,1.54416,1.55983,1.53633,1.55891,862731
2008-06-06,1.55897,1.57717,1.55691,1.57656,862283
2008-06-07,1.57653,1.5778,1.57514,1.57748,47166
2008-06-09,1.57831,1.58432,1.56173,1.56507,812925
2008-06-10,1.56497,1.56555,1.54371,1.54476,862049
2008-06-11,1.54475,1.55868,1.54431,1.5567,861971
2008-06-12,1.55685,1.55709,1.53764,1.54192,862100
2008-06-13,1.54206,1.54817,1.53004,1.53506,864268
2008-06-14,1.53508,1.53939,1.53442,1.5377,48246
2008-06-16,1.53826,1.55188,1.53433,1.54846,781752
2008-06-17,1.5486,1.55514,1.54558,1.55106,863444
2008-06-18,1.55125,1.55375,1.54598,1.55265,861713
2008-06-19,1.55275,1.55863,1.54631,1.54956,861091
2008-06-20,1.54947,1.5651,1.54878,1.5623,861327
2008-06-21,1.56216,1.56275,1.55965,1.56028,36045
2008-06-23,1.56153,1.56357,1.54661,1.55196,856500
2008-06-24,1.5518,1.56216,1.54876,1.55749,857623
2008-06-25,1.55755,1.56835,1.55335,1.56639,859510
2008-06-26,1.56646,1.57646,1.56249,1.57564,859006
2008-06-27,1.57567,1.57847,1.57154,1.57726,863704
2008-06-28,1.57708,1.57924,1.5768,1.57906,48882
2008-06-30,1.57789,1.58359,1.57271,1.57504,811411
2008-07-01,1.575,1.58249,1.5721,1.57898,857838
2008-07-02,1.57897,1.58879,1.57736,1.58844,853470
2008-07-03,1.58824,1.59117,1.56787,1.56958,855822
2008-07-04,1.56965,1.57262,1.56524,1.5697,857943
2008-07-05,1.5697,1.57102,1.56929,1.57029,47838
2008-07-07,1.57002,1.57533,1.56072,1.57285,778913
2008-07-08,1.57287,1.57392,1.56333,1.56548,858001
2008-07-09,1.56542,1.57494,1.56459,1.57418,853957
2008-07-10,1.57423,1.58022,1.56876,1.57785,857848
2008-07-11,1.57796,1.59472,1.57604,1.58868,857407
2008-07-12,1.58852,1.59389,1.58821,1.59368,35861
2008-07-14,1.59498,1.59709,1.58392,1.59136,854481
2008-07-15,1.59132,1.60389,1.58643,1.58728,860225
2008-07-16,1.58728,1.59477,1.57985,1.58108,857419
2008-07-17,1.58088,1.58929,1.57815,1.58201,859123
2008-07-18,1.58186,1.58867,1.58035,1.58406,857447
2008-07-19,1.58408,1.58492,1.58311,1.58448,48764
2008-07-21,1.58418,1.59083,1.58265,1.58916,808957
2008-07-22,1.58916,1.59442,1.57536,1.5783,861050
2008-07-23,1.57829,1.57989,1.56664,1.56768,858292
2008-07-24,1.56776,1.57139,1.56253,1.56569,857750
2008-07-25,1.5657,1.57537,1.5645,1.5691,856947
2008-07-26,1.56924,1.57097,1.56882,1.57043,48592
2008-07-28,1.57047,1.57683,1.56801,1.57471,780097
2008-07-29,1.57491,1.57573,1.55493,1.55828,856609
2008-07-30,1.55818,1.56166,1.55183,1.55681,855457
2008-07-31,1.5569,1.56995,1.55604,1.55905,856279
2008-08-01,1.55914,1.56075,1.55142,1.55438,855769
2008-08-02,1.55442,1.55639,1.55296,1.55609,36556
2008-08-04,1.55638,1.56306,1.55526,1.55856,854621
2008-08-05,1.5586,1.55913,1.54442,1.54711,857174
2008-08-06,1.54715,1.55167,1.53956,1.5416,851703
2008-08-07,1.54156,1.55019,1.53075,1.53219,857664
2008-08-08,1.5324,1.5338,1.50025,1.50099,857228
2008-08-09,1.50098,1.50297,1.4993,1.50032,47869
2008-08-11,1.5,1.50835,1.48786,1.4928,804849
2008-08-12,1.49267,1.49646,1.48112,1.49139,856938
2008-08-13,1.4914,1.49796,1.48397,1.49318,860940
2008-08-14,1.49312,1.49499,1.47746,1.48109,858530
2008-08-15,1.48102,1.48272,1.46554,1.46783,858657
2008-08-16,1.46766,1.46898,1.46669,1.46856,47945
2008-08-18,1.46988,1.47679,1.46839,1.46968,776838
2008-08-19,1.46958,1.47922,1.46272,1.47638,841612
2008-08-20,1.47648,1.48043,1.46685,1.47355,854943
2008-08-21,1.47358,1.48951,1.47281,1.48734,854548
2008-08-22,1.48733,1.49078,1.47568,1.47721,853703
2008-08-23,1.47712,1.47917,1.47616,1.47909,36221
2008-08-25,1.47803,1.48067,1.46921,1.47542,850183
2008-08-26,1.47541,1.4761,1.45655,1.4647,863512
2008-08-27,1.4644,1.47761,1.46307,1.47098,862798
2008-08-28,1.47088,1.48103,1.46691,1.47006,865218
2008-08-29,1.46979,1.47674,1.46368,1.46678,861992
2008-08-30,1.46688,1.46803,1.466,1.46714,48003
2008-09-01,1.46748,1.47198,1.45783,1.46006,785605
2008-09-02,1.46005,1.46186,1.44626,1.45133,862461
2008-09-03,1.45141,1.45303,1.43811,1.4489,866126
2008-09-04,1.44869,1.45438,1.43204,1.43239,856404
2008-09-05,1.43239,1.43462,1.41957,1.424,866112
2008-09-06,1.42382,1.42682,1.42225,1.42666,35650
2008-09-08,1.42658,1.4428,1.40516,1.41054,859519
2008-09-09,1.41049,1.42267,1.40435,1.41673,858202
2008-09-10,1.41668,1.41796,1.40106,1.4031,858808
2008-09-11,1.40311,1.40471,1.38778,1.39479,862880
2008-09-12,1.39466,1.42152,1.39243,1.42128,862030
2008-09-13,1.42149,1.42325,1.42006,1.42204,47519
2008-09-15,1.42253,1.44821,1.4082,1.41938,781981
2008-09-16,1.41943,1.43214,1.40699,1.41515,862935
2008-09-17,1.41491,1.43837,1.40735,1.43725,861101
2008-09-18,1.43715,1.45404,1.42772,1.43676,860646
2008-09-19,1.43668,1.44765,1.41494,1.44675,859981
2008-09-20,1.44664,1.44975,1.44572,1.44646,35746
2008-09-22,1.44698,1.48158,1.4433,1.47991,825267
2008-09-23,1.48001,1.4864,1.46195,1.47136,864277
2008-09-24,1.47148,1.47451,1.46265,1.46537,864292
2008-09-25,1.46537,1.47667,1.45584,1.46188,861967
2008-09-26,1.46188,1.46777,1.45538,1.46156,859331
2008-09-27,1.46168,1.46302,1.46035,1.46108,35471
2008-09-29,1.45811,1.45811,1.43001,1.44693,1605701
2008-09-30,1.44675,1.44738,1.40067,1.40779,943902
2008-10-01,1.40789,1.4174,1.39755,1.40585,883010
2008-10-02,1.4059,1.406,1.37455,1.38235,946632
2008-10-03,1.38235,1.39065,1.37025,1.3834,902028
2008-10-04,1.38335,1.3842,1.377,1.37705,46746
2008-10-06,1.36686,1.3704,1.3454,1.3456,1069425
2008-10-07,1.3456,1.37425,1.3443,1.3643,823049
2008-10-08,1.3643,1.37535,1.35429,1.36736,694074
2008-10-09,1.36739,1.37812,1.35762,1.36579,185283
2008-10-10,1.36562,1.36615,1.32592,1.33068,177323
2008-10-11,1.33038,1.34463,1.32999,1.34091,52950
2008-10-13,1.35653,1.36795,1.34498,1.35127,208453
2008-10-14,1.35155,1.37639,1.35107,1.3646,173415
2008-10-15,1.36466,1.36847,1.34952,1.35162,172820
2008-10-16,1.35133,1.35329,1.33467,1.34229,174326
2008-10-17,1.34238,1.35116,1.33846,1.34354,174150
2008-10-18,1.34362,1.34421,1.33971,1.34052,5135
2008-10-20,1.34216,1.35299,1.32871,1.33217,706449
2008-10-21,1.33224,1.33571,1.30782,1.31311,711773
2008-10-22,1.31322,1.31376,1.27668,1.28642,713230
2008-10-23,1.28646,1.28896,1.27257,1.28489,712795
2008-10-24,1.28488,1.30016,1.24941,1.26089,728182
2008-10-25,1.26102,1.26445,1.25614,1.2619,36401
2008-10-27,1.25557,1.26774,1.23331,1.25212,1272702
2008-10-28,1.25214,1.2625,1.2329,1.2598,837516
2008-10-29,1.2598,1.2991,1.2583,1.2851,673719
2008-10-30,1.28525,1.3285,1.2805,1.29665,639313
2008-10-31,1.29665,1.2992,1.26675,1.27575,586415
2008-11-01,1.27575,1.27735,1.27285,1.2733,39811
2008-11-03,1.2745,1.28985,1.2622,1.2628,663204
2008-11-04,1.26275,1.30285,1.2525,1.2982,865548
2008-11-05,1.2982,1.31145,1.27925,1.29955,867845
2008-11-06,1.29955,1.3009,1.27115,1.27235,823473
2008-11-07,1.27225,1.285,1.2652,1.2745,785487
2008-11-08,1.2745,1.27675,1.2714,1.2716,44490
2008-11-10,1.2816,1.2927,1.2738,1.27785,628630
2008-11-11,1.2779,1.28,1.25065,1.255,651377
2008-11-12,1.25505,1.2631,1.2466,1.2546,711455
2008-11-13,1.25455,1.2591,1.2388,1.25345,456951
2008-11-14,1.2534,1.28525,1.2521,1.2732,721198
2008-11-15,1.2733,1.2799,1.25765,1.26025,54393
2008-11-17,1.25297,1.27415,1.25115,1.27185,563661
2008-11-18,1.2719,1.27365,1.25705,1.26162,706931
2008-11-19,1.26165,1.2814,1.2552,1.259,576657
2008-11-20,1.2589,1.26105,1.2472,1.25365,566434
2008-11-21,1.2536,1.26375,1.2423,1.25165,546511
2008-11-22,1.25175,1.2595,1.24895,1.25855,75649
2008-11-24,1.2585,1.2898,1.2567,1.28945,767950
2008-11-25,1.28955,1.3081,1.28035,1.30115,791226
2008-11-26,1.30115,1.30745,1.2819,1.2871,727459
2008-11-27,1.28705,1.2968,1.2859,1.28835,762372
2008-11-28,1.28835,1.2957,1.2645,1.2697,715424
2008-11-29,1.2697,1.2712,1.26875,1.2689,21521
2008-12-01,1.27093,1.27115,1.2582,1.26655,666253
2008-12-02,1.26655,1.27655,1.2562,1.27085,722415
2008-12-03,1.27085,1.27415,1.2602,1.26555,839546
2008-12-04,1.2656,1.28475,1.2549,1.28225,842317
2008-12-05,1.28225,1.2825,1.2627,1.26405,727514
2008-12-06,1.2641,1.27395,1.2639,1.27198,60011
2008-12-08,1.27254,1.29535,1.27155,1.29145,732174
2008-12-09,1.2915,1.30005,1.2798,1.293,942133
2008-12-10,1.293,1.307,1.28875,1.3018,971274
2008-12-11,1.30175,1.3403,1.2989,1.3341,791864
2008-12-12,1.3341,1.3415,1.32505,1.33565,541902
2008-12-13,1.3357,1.33865,1.33565,1.33682,35805
2008-12-15,1.33661,1.3703,1.33637,1.3673,604884
2008-12-16,1.3673,1.3842,1.363,1.38115,703731
2008-12-17,1.3811,1.44365,1.3777,1.43275,681969
2008-12-18,1.4327,1.46925,1.41875,1.4299,466239
2008-12-19,1.4299,1.4322,1.38265,1.3876,489125
2008-12-20,1.38755,1.3935,1.38375,1.3911,36184
2008-12-22,1.39315,1.41245,1.39025,1.39265,521987
2008-12-23,1.3926,1.4021,1.39195,1.39725,463111
2008-12-24,1.3972,1.4019,1.39135,1.39913,316004
2008-12-25,1.39901,1.40465,1.39737,1.40387,447336
2008-12-26,1.40377,1.41155,1.39895,1.40765,155682
2008-12-27,1.40765,1.40925,1.40182,1.40182,16218
2008-12-29,1.406,1.43625,1.4031,1.40595,521493
2008-12-30,1.40595,1.4221,1.39165,1.4114,561292
2008-12-31,1.4114,1.41445,1.38505,1.3936,328849
2009-01-01,1.3936,1.40707,1.3926,1.40121,504688
2009-01-02,1.40116,1.40515,1.3839,1.38565,411502
2009-01-03,1.38565,1.39205,1.38385,1.39185,27415
2009-01-05,1.38977,1.3961,1.35495,1.36005,503098
2009-01-06,1.3601,1.36585,1.3313,1.3466,630506
2009-01-07,1.34655,1.3747,1.3432,1.3645,723863
2009-01-08,1.3645,1.37965,1.35345,1.3699,771916
2009-01-09,1.36985,1.37385,1.34315,1.3452,504667
2009-01-10,1.34525,1.34702,1.3415,1.34672,22690
2009-01-12,1.34688,1.34735,1.32938,1.33935,569267
2009-01-13,1.33935,1.3412,1.31666,1.31666,709510
2009-01-14,1.31663,1.3337,1.3094,1.3162,637848
2009-01-15,1.3162,1.3234,1.30247,1.31205,757524
2009-01-16,1.31205,1.33425,1.3111,1.3258,736627
2009-01-17,1.32575,1.33085,1.32455,1.3264,43295
2009-01-19,1.33352,1.33845,1.3117,1.3146,589355
2009-01-20,1.3146,1.31545,1.288,1.2881,583950
2009-01-21,1.28805,1.30135,1.28235,1.28878,672654
2009-01-22,1.2889,1.30855,1.2863,1.2983,575428
2009-01-23,1.2983,1.30285,1.27675,1.3021,563834
2009-01-24,1.3021,1.30345,1.2959,1.29725,28073
2009-01-26,1.29621,1.3207,1.2861,1.31405,677840
2009-01-27,1.3141,1.3329,1.3098,1.31855,751421
2009-01-28,1.31855,1.3323,1.3139,1.3234,840558
2009-01-29,1.32345,1.32764,1.29355,1.29505,800881
2009-01-30,1.295,1.29865,1.2777,1.2803,760363
2009-01-31,1.2803,1.28285,1.27625,1.28105,45374
2009-02-02,1.27672,1.28985,1.27055,1.2853,610767
2009-02-03,1.2853,1.3036,1.2801,1.2955,697795
2009-02-04,1.29555,1.30705,1.28125,1.28465,740805
2009-02-05,1.28465,1.2905,1.27615,1.2825,682851
2009-02-06,1.2825,1.29925,1.2747,1.29895,614257
2009-02-07,1.29895,1.29895,1.2917,1.2938,50610
2009-02-09,1.2961,1.30925,1.2872,1.3034,771381
2009-02-10,1.30335,1.30735,1.28095,1.28875,872856
2009-02-11,1.28875,1.2998,1.2833,1.28485,770553
2009-02-12,1.28485,1.2943,1.2721,1.2833,690938
2009-02-13,1.2832,1.2942,1.2766,1.29035,540668
2009-02-14,1.2904,1.2911,1.2855,1.28605,30945
2009-02-16,1.27793,1.28245,1.27265,1.2777,542698
2009-02-17,1.2777,1.28075,1.2562,1.2588,780007
2009-02-18,1.25885,1.264,1.25125,1.25555,600816
