,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-18 13:35:00,152.397,152.453,152.346,152.428,865.0,,,,,,,,,,,151.96221190476192,0.2212142857142904,151.96221190476192,151.74099761904762,152.1834261904762,151.96221190476192,False,False
2021-03-18 13:40:00,152.428,152.465,152.392,152.416,916.0,,,,,,,,,,,151.96221190476192,0.2212142857142904,151.96221190476192,151.74099761904762,152.1834261904762,151.96221190476192,False,False
2021-03-18 13:45:00,152.416,152.445,152.35,152.368,1243.0,,,,,,,,,,,151.96221190476192,0.2212142857142904,151.96221190476192,151.74099761904762,152.1834261904762,151.96221190476192,False,False
2021-03-18 13:50:00,152.367,152.382,152.27,152.28,1143.0,,,,,,,,,,,151.96221190476192,0.2212142857142904,151.96221190476192,151.74099761904762,152.1834261904762,151.96221190476192,False,False
2021-03-18 13:55:00,152.281,152.354,152.257,152.263,1421.0,,,,,,,,,,,151.96221190476192,0.2212142857142904,151.96221190476192,151.74099761904762,152.1834261904762,151.96221190476192,False,False
2021-03-18 14:00:00,152.263,152.392,152.263,152.364,1473.0,152.263,152.392,152.164,152.216,12568.0,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:05:00,152.363,152.367,152.296,152.339,1302.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:10:00,152.34,152.352,152.307,152.322,825.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:15:00,152.323,152.352,152.305,152.351,1084.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:20:00,152.35,152.355,152.248,152.25,1070.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:25:00,152.25,152.261,152.195,152.23,1113.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:30:00,152.228,152.238,152.164,152.188,1065.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:35:00,152.188,152.277,152.179,152.264,846.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:40:00,152.266,152.297,152.228,152.241,977.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:45:00,152.245,152.251,152.193,152.205,897.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:50:00,152.205,152.228,152.164,152.212,950.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 14:55:00,152.21,152.25,152.198,152.216,966.0,,,,,,,,,,,151.9863821995465,0.2147142857142898,151.9863821995465,151.77166791383223,152.2010964852608,151.9863821995465,False,False
2021-03-18 15:00:00,152.218,152.233,152.199,152.217,792.0,152.218,152.481,152.181,152.46,9800.0,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:05:00,152.217,152.233,152.194,152.195,712.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:10:00,152.195,152.236,152.181,152.227,870.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:15:00,152.227,152.313,152.219,152.292,893.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:20:00,152.295,152.353,152.29,152.34,691.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:25:00,152.342,152.347,152.304,152.344,588.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:30:00,152.341,152.399,152.34,152.393,856.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:35:00,152.393,152.44,152.381,152.386,1065.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:40:00,152.387,152.419,152.347,152.376,712.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:45:00,152.374,152.391,152.316,152.324,788.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:50:00,152.324,152.4,152.323,152.397,874.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 15:55:00,152.395,152.481,152.379,152.46,959.0,,,,,,,,,,,152.03148865673256,0.2278571428571447,152.03148865673256,151.80363151387542,152.2593457995897,152.03148865673256,False,False
2021-03-18 16:00:00,152.458,152.543,152.404,152.44,878.0,152.458,152.543,152.201,152.251,10933.0,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:05:00,152.441,152.455,152.392,152.413,860.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:10:00,152.413,152.431,152.362,152.39,886.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:15:00,152.39,152.442,152.373,152.44,743.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:20:00,152.437,152.468,152.426,152.443,671.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:25:00,152.443,152.47,152.39,152.405,589.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:30:00,152.406,152.406,152.339,152.36,933.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:35:00,152.359,152.359,152.23,152.295,1293.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:40:00,152.295,152.313,152.274,152.291,970.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:45:00,152.29,152.335,152.254,152.326,949.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:50:00,152.322,152.367,152.307,152.323,723.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 16:55:00,152.321,152.325,152.201,152.251,1438.0,,,,,,,,,,,152.0523944989485,0.2375000000000032,152.0523944989485,151.8148944989485,152.2898944989485,152.0523944989485,False,False
2021-03-18 17:00:00,152.252,152.326,152.015,152.039,1829.0,152.252,152.326,151.889,152.137,14447.0,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:05:00,152.038,152.094,151.982,152.093,1588.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:10:00,152.092,152.158,152.064,152.126,1086.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:15:00,152.127,152.161,152.053,152.079,1078.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:20:00,152.082,152.09,151.994,152.04,1361.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:25:00,152.041,152.066,151.99,152.035,719.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
