,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-22 23:20:00,1.1943,1.1943,1.19405,1.19405,146.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-22 23:25:00,1.19406,1.19413,1.194,1.19412,268.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-22 23:30:00,1.19413,1.19426,1.19413,1.19419,135.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-22 23:35:00,1.1942,1.19424,1.19406,1.19412,174.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-22 23:40:00,1.19411,1.19412,1.19399,1.19411,198.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-22 23:45:00,1.1941,1.19423,1.1941,1.1942,86.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-22 23:50:00,1.19418,1.1942,1.1941,1.19419,91.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-22 23:55:00,1.19419,1.19423,1.19405,1.19418,329.0,,,,,,,,,,,1.1916394133846484,0.0014521428571428,1.1916394133846484,1.1901872705275056,1.1930915562417912,1.1916394133846484,False,False
2021-03-23 00:00:00,1.19416,1.19419,1.19401,1.1941,370.0,1.19416,1.19419,1.19355,1.19361,2735.0,1.19416,1.19419,1.18486,1.18516,119613.0,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:05:00,1.19411,1.19412,1.19383,1.19389,180.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:10:00,1.19388,1.19395,1.19381,1.19383,102.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:15:00,1.19381,1.19388,1.19368,1.19373,272.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:20:00,1.19372,1.19375,1.19363,1.19375,285.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:25:00,1.19376,1.19379,1.1937,1.19376,149.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:30:00,1.19376,1.19387,1.19372,1.19382,184.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:35:00,1.19381,1.19392,1.19378,1.19381,201.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:40:00,1.19378,1.19382,1.19371,1.19376,245.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:45:00,1.19376,1.19378,1.19366,1.19367,156.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:50:00,1.19367,1.19374,1.19355,1.19367,296.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 00:55:00,1.19367,1.19368,1.19355,1.19361,295.0,,,,,,,,,,,1.191827088300396,0.0014385714285714,1.191827088300396,1.190388516871825,1.1932656597289677,1.191827088300396,False,False
2021-03-23 01:00:00,1.19361,1.19366,1.19337,1.19341,258.0,1.19361,1.19375,1.19321,1.19323,2230.0,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:05:00,1.1934,1.19361,1.19332,1.19358,159.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:10:00,1.19357,1.19358,1.19341,1.19356,117.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:15:00,1.19352,1.19367,1.19351,1.19362,100.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:20:00,1.19361,1.19375,1.19361,1.19368,159.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:25:00,1.19369,1.19372,1.19365,1.19366,117.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:30:00,1.19365,1.19369,1.19359,1.19364,87.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:35:00,1.19364,1.19366,1.1936,1.19366,105.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:40:00,1.19366,1.19367,1.19345,1.19347,123.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:45:00,1.19349,1.19361,1.19344,1.19354,441.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:50:00,1.19353,1.19356,1.19338,1.19344,209.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 01:55:00,1.19344,1.19344,1.19321,1.19323,355.0,,,,,,,,,,,1.1919606989384537,0.0013814285714285,1.1919606989384537,1.1905792703670253,1.193342127509882,1.1919606989384537,False,False
2021-03-23 02:00:00,1.19323,1.19341,1.19304,1.19332,54.0,1.19323,1.19363,1.19304,1.19348,1197.0,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:05:00,1.19332,1.19343,1.19321,1.19343,37.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:10:00,1.19324,1.19344,1.19324,1.19343,71.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
